bmi_percentile,physical_activity_days_code,computer_use_code,sleep_code,sex_code,age_code,survey_weight,physical_activity_days,computer_use_hours,sleep_hours,female,sex_label,age_years_approx
62.75875953,2.0,7.0,3.0,2.0,4.0,0.4294,1.0,5.0,6.0,1.0,Female,15.0
92.09238408,4.0,6.0,7.0,1.0,5.0,0.4168,3.0,4.0,10.0,0.0,Male,16.0
72.40481299,8.0,1.0,7.0,1.0,4.0,0.4168,7.0,0.0,10.0,0.0,Male,15.0
32.35454194,4.0,3.0,5.0,2.0,5.0,0.4294,3.0,1.0,8.0,1.0,Female,16.0
47.11027439,8.0,3.0,2.0,2.0,5.0,0.1027,7.0,1.0,5.0,1.0,Female,16.0
73.65945206,1.0,4.0,3.0,1.0,5.0,0.4168,0.0,2.0,6.0,0.0,Male,16.0
75.94273757,6.0,1.0,2.0,1.0,6.0,0.2734,5.0,0.0,5.0,0.0,Male,17.0
45.84835334,1.0,5.0,1.0,1.0,6.0,0.2734,0.0,3.0,4.0,0.0,Male,17.0
91.41797055,1.0,3.0,3.0,1.0,6.0,0.2734,0.0,1.0,6.0,0.0,Male,17.0
95.26327504,1.0,1.0,6.0,1.0,6.0,0.2734,0.0,0.0,9.0,0.0,Male,17.0
95.77021638,1.0,4.0,3.0,1.0,6.0,0.2734,0.0,2.0,6.0,0.0,Male,17.0
97.402769,2.0,2.0,3.0,1.0,6.0,0.2734,1.0,0.5,6.0,0.0,Male,17.0
70.67451976,1.0,4.0,6.0,1.0,6.0,0.2734,0.0,2.0,9.0,0.0,Male,17.0
98.86075815,1.0,5.0,1.0,1.0,5.0,0.2734,0.0,3.0,4.0,0.0,Male,16.0
16.34633408,6.0,3.0,5.0,1.0,6.0,0.2734,5.0,1.0,8.0,0.0,Male,17.0
5.221698862,2.0,1.0,2.0,1.0,6.0,0.2734,1.0,0.0,5.0,0.0,Male,17.0
85.29469889,1.0,1.0,3.0,1.0,5.0,0.2734,0.0,0.0,6.0,0.0,Male,16.0
79.65116681,3.0,1.0,3.0,1.0,6.0,0.2734,2.0,0.0,6.0,0.0,Male,17.0
87.66542983,8.0,2.0,4.0,1.0,6.0,0.2734,7.0,0.5,7.0,0.0,Male,17.0
50.95276905,1.0,2.0,4.0,1.0,6.0,0.2734,0.0,0.5,7.0,0.0,Male,17.0
94.34347293,1.0,4.0,4.0,2.0,5.0,0.4294,0.0,2.0,7.0,1.0,Female,16.0
84.67610222,1.0,1.0,4.0,1.0,5.0,0.4168,0.0,0.0,7.0,0.0,Male,16.0
72.13833601,5.0,4.0,2.0,2.0,5.0,0.6713,4.0,2.0,5.0,1.0,Female,16.0
